BveTs Station List 2.00,,,,,,,,,,,,,
#,駅名,到着時刻,出発時刻,停車時間,開始時刻,出発信号,降車時間,乗車率,到着音声,発車前音声,再開扉確率,駆け込み乗車遅延時間,
station_0,銀花,,7:11:20,15,7:10:50,1,4,0.65,,departure_bell_0,0.05,0.2,
station_1,辺野,p,,15,,0,5,0.67,,departure_bell_0,0.05,0.2,
station_2,森入,p,,15,,0,5,0.69,,departure_bell_0,0.05,0.2,
station_3,中江,p,,15,,0,5,0.71,,departure_bell_0,0.06,0.25,
station_4,栄野,p,,15,,0,6,0.74,,departure_bell_0,0.06,0.25,
station_5,娃宮,p,,15,,0,6,0.77,,departure_bell_0,0.06,0.25,
station_6,福津川,p,,15,,0,7,0.80,,departure_bell_0,0.07,0.25,
station_7,馬原,p,,15,,0,8,0.82,,departure_bell_0,0.07,0.25,
station_8,田池,p,,15,,0,7,0.84,,departure_bell_0,0.07,0.25,
station_9,玉口,p,,15,,0,9,0.87,,departure_bell_0,0.07,0.25,
station_10,東泉郷,,,15,,0,7,0.88,,departure_bell_0,0.08,0.3,
station_11,佐合,p,,15,,0,10,0.9,,departure_bell_0,0.08,0.3,
station_12,長根塚,,t,15,,0,10,0.93,,departure_bell_0,0.08,0.3,
