BveTs Station List 2.00,,,,,,,,,,,,
#,駅名,到着時刻,出発時刻,停車時間,開始時刻,出発信号,降車時間,乗車率,到着音声,発車前音声,再開扉確率,駆け込み乗車遅延時間
station_0,遠山,,,15,,0,5,1,,departure_bell_0,0.05,0.1
station_1,千香,,,15,,0,4,1.02,,departure_bell_0,0.05,0.1
station_2,葉渡,,,15,,0,5,0.97,,departure_bell_0,0.05,0.1
station_3,春本,,,15,,0,4,0.93,,departure_bell_0,0.06,0.1
station_4,味森,,,15,,0,5,0.88,,departure_bell_0,0.05,0.1
station_5,浅水,,,15,,0,4,0.84,,departure_bell_0,0.05,0.1
station_6,大庫,,,15,,0,4,0.79,,departure_bell_0,0.05,0.1
station_7,黒金,,,15,,0,5,0.73,,departure_bell_0,0.05,0.1
station_8,問屋,,,15,,0,3,0.66,,departure_bell_0,0.05,0.1
station_9,二代町,,,15,,0,4,0.6,,departure_bell_0,0.05,0.1
station_10,鳩守,,,15,,0,4,0.53,,departure_bell_0,0.05,0.1
station_11,菊生,,,15,,0,5,0.48,,departure_bell_0,0.05,0.1
station_12,荷町,21:00:20,t,15,,0,4,0.4,,departure_bell_0,0.05,0.1
