BveTs Station List 2.00,,,,,,,,,,,,
#,駅名,到着時刻,出発時刻,停車時間,開始時刻,出発信号,降車時間,乗車率,到着音声,発車前音声,再開扉確率,駆け込み乗車遅延時間
station_0,戸阪,,5:41:30,15,5:41:00,1,1,0.05,,departure_bell_0,0.01,0.1
station_1,塚浜,,,15,,0,0,0.05,,departure_bell_0,0.01,0.1
station_2,上府台,,,15,,0,1,0.06,,departure_bell_0,0.01,0.1
station_3,山総,,,15,,0,2,0.07,,departure_bell_0,0.01,0.1
station_4,天久,,,15,,0,0,0.07,,departure_bell_0,0.01,0.1
station_5,田境,,,15,,0,1,0.06,,departure_bell_0,0.01,0.1
station_6,神島,,,15,,0,0,0.06,,departure_bell_0,0.01,0.1
station_7,久尾,,,15,,0,2,0.09,,departure_bell_0,0.01,0.1
station_8,成川,,,15,,0,1,0.09,,departure_bell_0,0.01,0.1
station_9,若下,,,15,,0,1,0.1,,departure_bell_0,0.01,0.1
station_10,浦野,,,15,,0,1,0.11,,departure_bell_0,0.01,0.1
station_11,能浜,,,15,,0,0,0.11,,departure_bell_0,0.01,0.1
station_12,広戸,,t,15,,0,2,0.12,,departure_bell_0,0.01,0.1
