BveTs Station List 2.00,,,,,,,,,,,,
#,駅名,到着時刻,出発時刻,停車時間,開始時刻,出発信号,降車時間,乗車率,到着音声,発車前音声,再開扉確率,駆け込み乗車遅延時間
station_0,樽原,,,15,,0,2,0.25,,departure_bell_0,0.05,0.1
station_1,岸下,,,15,,0,2,0.23,,departure_bell_0,0.05,0.1
station_2,山条,,,15,,0,3,0.22,,departure_bell_0,0.05,0.1
station_3,西柏,,,15,,0,3,0.2,,departure_bell_0,0.06,0.1
station_4,豊丸,,,15,,0,2,0.18,,departure_bell_0,0.05,0.1
station_5,青岳,,,15,,0,2,0.17,,departure_bell_0,0.05,0.1
station_6,穴滝,,,15,,0,3,0.15,,departure_bell_0,0.05,0.1
station_7,東福,,,15,,0,4,0.14,,departure_bell_0,0.05,0.1
station_8,福記,,,15,,0,2,0.11,,departure_bell_0,0.05,0.1
station_9,十和島,,,15,,0,2,0.1,,departure_bell_0,0.05,0.1
station_10,成金,,,15,,0,3,0.08,,departure_bell_0,0.05,0.1
station_11,虎山,,,15,,0,1,0.06,,departure_bell_0,0.05,0.1
station_12,鵜東,23:41:30,t,15,,0,2,0.05,,departure_bell_0,0.05,0.1
