BveTs Station List 2.00,,,,,,,,,,,,
#,駅名,到着時刻,出発時刻,停車時間,開始時刻,出発信号,降車時間,乗車率,到着音声,発車前音声,再開扉確率,駆け込み乗車遅延時間
station_0,栖々見,,16:38:15,15,16:37:45,0,3,0.6,,departure_bell_0,0.06,0.25
station_1,仁原,,,15,,0,2,0.63,,departure_bell_0,0.06,0.25
station_2,上音,,,15,,0,2,0.66,,departure_bell_0,0.06,0.25
station_3,古馬,,,15,,0,3,0.71,,departure_bell_0,0.06,0.25
station_4,馬場山,,,15,,0,4,0.77,,departure_bell_0,0.06,0.25
station_5,岩橋,,,15,,0,4,0.83,,departure_bell_0,0.07,0.25
station_6,甕売,,,15,,0,2,0.89,,departure_bell_0,0.07,0.25
station_7,豊貨,,,15,,0,4,0.92,,departure_bell_0,0.07,0.25
station_8,広沼,,,15,,0,3,0.99,,departure_bell_0,0.07,0.25
station_9,蘇茶,,,15,,0,3,1.06,,departure_bell_0,0.07,0.25
station_10,清延,,,15,,0,4,1.13,,departure_bell_0,0.08,0.3
station_11,星原,,,15,,0,2,1.2,,departure_bell_0,0.08,0.3
station_12,真金,,t,15,,0,4,1.25,,departure_bell_0,0.08,0.3
