BveTs Station List 2.00,,,,,,,,,,,,
#,駅名,到着時刻,出発時刻,停車時間,開始時刻,出発信号,降車時間,乗車率,到着音声,発車前音声,再開扉確率,駆け込み乗車遅延時間
station_0,戸阪,,23:59:45,15,23:59:15,1,2,0.18,,departure_bell_0,0.05,0.1
station_1,塚浜,p,,15,,0,2,0.17,,departure_bell_0,0.05,0.1
station_2,上府台,p,,15,,0,3,0.17,,departure_bell_0,0.05,0.1
station_3,山総,p,,15,,0,2,0.15,,departure_bell_0,0.06,0.1
station_4,天久,p,,15,,0,2,0.15,,departure_bell_0,0.05,0.1
station_5,田境,,,15,,0,2,0.14,,departure_bell_0,0.05,0.1
station_6,神島,p,,15,,0,2,0.12,,departure_bell_0,0.05,0.1
station_7,久尾,p,,15,,0,3,0.1,,departure_bell_0,0.05,0.1
station_8,成川,p,,15,,0,2,0.09,,departure_bell_0,0.05,0.1
station_9,若下,,,15,,0,1,0.07,,departure_bell_0,0.05,0.1
station_10,浦野,p,,15,,0,2,0.05,,departure_bell_0,0.05,0.1
station_11,能浜,p,,15,,0,1,0.04,,departure_bell_0,0.05,0.1
station_12,広戸,,t,15,,0,1,0.03,,departure_bell_0,0.05,0.1
