BveTs Station List 2.00,,,,,,,,,,,,
#,駅名,到着時刻,出発時刻,停車時間,開始時刻,出発信号,降車時間,乗車率,到着音声,発車前音声,再開扉確率,駆け込み乗車遅延時間
station_0,富和高浜,,,15,,0,2,0.2,,departure_bell_0,0.05,0.1
station_1,半丁塚,,,15,,0,1,0.2,,departure_bell_0,0.05,0.1
station_2,大志,,,15,,0,2,0.22,,departure_bell_0,0.05,0.1
station_3,福上,,,15,,0,3,0.22,,departure_bell_0,0.05,0.1
station_4,川道,,,15,,0,3,0.22,,departure_bell_0,0.05,0.1
station_5,滑波,,,15,,0,2,0.21,,departure_bell_0,0.05,0.1
station_6,後沢,,,15,,0,1,0.21,,departure_bell_0,0.05,0.1
station_7,島形,,,15,,0,2,0.21,,departure_bell_0,0.05,0.1
station_8,白和,,,15,,0,3,0.22,,departure_bell_0,0.05,0.1
station_9,岩成,,,15,,0,3,0.2,,departure_bell_0,0.05,0.1
station_10,会肥,,,15,,0,1,0.2,,departure_bell_0,0.05,0.1
station_11,南北橋,,,15,,0,2,0.22,,departure_bell_0,0.05,0.1
station_12,曳通,13:15:40,t,15,,0,3,0.2,,departure_bell_0,0.05,0.1
