BveTs Station List 2.00,,,,,,,,,,,,
#,駅名,到着時刻,出発時刻,停車時間,開始時刻,出発信号,降車時間,乗車率,到着音声,発車前音声,再開扉確率,駆け込み乗車遅延時間
station_0,京父,,12:23:35,15,12:23:05,1,2,0.2,,departure_bell_0,0.05,0.1
station_1,川城,,,15,,0,2,0.2,,departure_bell_0,0.05,0.1
station_2,千見,,,15,,0,3,0.22,,departure_bell_0,0.05,0.1
station_3,可津思,,,15,,0,2,0.22,,departure_bell_0,0.05,0.1
station_4,戸松,,,15,,0,1,0.22,,departure_bell_0,0.05,0.1
station_5,大根,,,15,,0,3,0.21,,departure_bell_0,0.05,0.1
station_6,晴戸谷,,,15,,0,2,0.21,,departure_bell_0,0.05,0.1
station_7,猪平,,,15,,0,3,0.21,,departure_bell_0,0.05,0.1
station_8,岩戸,,,15,,0,2,0.22,,departure_bell_0,0.05,0.1
station_9,相田,,,15,,0,2,0.2,,departure_bell_0,0.05,0.1
station_10,岸造,,,15,,0,1,0.2,,departure_bell_0,0.05,0.1
station_11,間宮,,,15,,0,4,0.22,,departure_bell_0,0.05,0.1
station_12,越田,,t,15,,0,2,0.2,,departure_bell_0,0.05,0.1
