BveTs Station List 2.00,,,,,,,,,,,,
#,駅名,到着時刻,出発時刻,停車時間,開始時刻,出発信号,降車時間,乗車率,到着音声,発車前音声,再開扉確率,駆け込み乗車遅延時間
station_0,宮道,,18:52:30,15,18:52:00,1,9,1.45,,departure_bell_0,0.06,1
station_1,草袋寺,p,,15,,0,8,1.4,,departure_bell_0,0.06,0.9
station_2,後内,p,,15,,0,7,1.31,,departure_bell_0,0.06,0.7
station_3,住明,p,,15,,0,8,1.22,,departure_bell_0,0.06,0.6
station_4,南和,p,,15,,0,8,1.13,,departure_bell_0,0.06,0.55
station_5,三濃,,,15,,0,9,1.04,,departure_bell_0,0.06,0.5
station_6,細村,p,,15,,0,8,0.95,,departure_bell_0,0.06,0.45
station_7,守町,,,15,,0,7,0.88,,departure_bell_0,0.06,0.4
station_8,前ヶ島,p,,15,,0,8,0.8,,departure_bell_0,0.06,0.35
station_9,高安,,,15,,0,8,0.73,,departure_bell_0,0.06,0.35
station_10,足江,p,,15,,0,9,0.65,,departure_bell_0,0.06,0.3
station_11,八泉,p,,15,,0,7,0.57,,departure_bell_0,0.06,0.2
station_12,桜池,,t,15,,0,9,0.45,,departure_bell_0,0.06,0.2
